Player,Tm,Position,Cap_Hit
"Nick Leddy
",STL,D,5500000
"Colton Parayko
",STL,D,5500000
"Zach Hyman
",EDM,C,5500000
"Travis Konecny
",PHI,C,5500000
"Jason Zucker
",PIT,LW,5500000
"Gustav Nyquist
",CBJ,RW,5500000
"Phillip Danault
",LAK,C,5500000
"Andrew Ladd
",ARI,LW,5500000
"Bo Horvat
",VAN,C,5500000
"Anton Stralman
",ARI,D,5500000
"Teuvo Teravainen
",CAR,C,5400000
"Seth Jones
",CHI,D,5400000
"Rasmus Ristolainen
",PHI,D,5400000
"Oliver Bjorkstrand
",CBJ,RW,5400000
"Mika Zibanejad
",NYR,C,5350000
"Mikael Backlund
",CGY,C,5350000
"Max Domi
",CAR,LW,5300000
"Jaccob Slavin
",CAR,D,5300000
"Ondrej Palat
",TBL,LW,5300000
"Patric Hornqvist
",FLA,RW,5300000
"Bryan Little
",ARI,C,5291000
"Jeff Carter
",PIT,C,5272727
"Jakub Vrana
",DET,LW,5250000
"Alec Martinez
",VGK,D,5250000
"Brady Skjei
",CAR,D,5250000
"Nino Niederreiter
",CAR,RW,5250000
"Charlie Coyle
",BOS,C,5250000
"J.T. Miller
",VAN,C,5250000
"Jakob Silfverberg
",ANA,RW,5250000
Joel Eriksson,"Ek
 MIN",C,5250000
"Hampus Lindholm
",BOS,D,5205556
"Shea Theodore
",VGK,D,5200000
"Yanni Gourde
",SEA,C,5166666
"Thomas Wilson
",WAS,RW,5166666
"Ryan Nugent-Hopkins
",EDM,C,5125000
"Dmitry Orlov
",WAS,D,5100000
"Kevin Fiala
",MIN,LW,5100000
"Danny DeKeyser
",DET,D,5000000
"Reilly Smith
",VGK,RW,5000000
"Evgenii Dadonov
",VGK,LW,5000000
"Robin Lehner
",VGK,G,5000000
"Jonathan Marchessault
",VGK,C,5000000
"Tyler Johnson
",CHI,C,5000000
"Mikael Granlund
",NSH,C,5000000
"Juuse Saros
",NSH,G,5000000
"Pierre-Luc Dubois
",WPG,LW,5000000
"Samuel Girard
",COL,D,5000000
"Morgan Rielly
",TOR,D,5000000
"T.J. Brodie
",TOR,D,5000000
"Zachary Werenski
",CBJ,D,5000000
"Ryan Pulock
",NYI,D,5000000
"Jean-Gabriel Pageau
",NYI,C,5000000
"Semyon Varlamov
",NYI,G,5000000
"Josh Bailey
",NYI,LW,5000000
"Kyle Palmieri
",NYI,RW,5000000
"Linus Ullmark
",BOS,G,5000000
"Thatcher Demko
",VAN,G,5000000
"Alex Goligoski
",MIN,D,5000000
"Drake Batherson
",OTT,C,4975000
"Noah Hanifin
",CGY,D,4950000
"Conor Garland
",VAN,RW,4950000
"Ben Bishop
",DAL,G,4916667
"Andre Burakovsky
",COL,LW,4900000
"Charles Mcavoy
",BOS,D,4900000
"Blake Coleman
",CGY,C,4900000
"Michael Matheson
",PIT,D,4875000
"Elias Lindholm
",CGY,C,4850000
"Anthony Cirelli
",TBL,C,4800000
"Mikhail Sergachev
",TBL,D,4800000
"Tyler Bertuzzi
",DET,LW,4750000
"Vincent Trocheck
",CAR,C,4750000
"Colin White
",OTT,C,4750000
"Alex Tuch
",BUF,RW,4750000
"Kevin Labanc
",SJS,RW,4725000
"Travis Sanheim
",PHI,D,4675000
"Jamie Oleksiak
",SEA,D,4600000
"Jakob Chychrun
",ARI,D,4600000
Calvin de,"Haan
 CHI",D,4550000
"Rasmus Andersson
",CGY,D,4550000
"Shayne Gostisbehere
",ARI,D,4500000
"Ryan Strome
",NYR,C,4500000
"Alexander Wennberg
",SEA,C,4500000
"Frederik Andersen
",CAR,G,4500000
"Mike Hoffman
",MTL,LW,4500000
"Nikita Zaitsev
",OTT,D,4500000
"Brandon Saad
",STL,LW,4500000
"Tyson Barrie
",EDM,D,4500000
"Mikko Koskinen
",EDM,G,4500000
"Nazem Kadri
",COL,C,4500000
"Darcy Kuemper
",COL,G,4500000
"Tomas Tatar
",NJD,LW,4500000
"Chris Tanev
",CGY,D,4500000
"Christian Dvorak
",MTL,C,4450000
"Alexander Killorn
",TBL,C,4450000
"Sam Bennett
",FLA,C,4425000
"Filip Hronek
",DET,D,4400000
"John Marino
",PIT,D,4400000
"Sean Couturier
",PHI,C,4333333
"Viktor Arvidsson
",LAK,LW,4250000
"John Klingberg
",DAL,D,4250000
"Tyler Toffoli
",CGY,RW,4250000
"Oscar Klefbom
",EDM,D,4167000
"Damon Severson
",NJD,D,4166666
"Anthony Beauvillier
",NYI,LW,4150000
"Jonathan Bernier
",NJD,G,4125000
"Josh Manson
",COL,D,4100000
"Devon Toews
",COL,D,4100000
"Brian Dumoulin
",PIT,D,4100000
"Brandon Carlo
",BOS,D,4100000
"Olli Maatta
",LAK,D,4083333
"Jake Gardiner
",CAR,D,4050000
"Marcus Pettersson
",PIT,D,4025175
"Brett Pesce
",CAR,D,4025000
"Vince Dunn
",SEA,D,4000000
"Victor Rask
",SEA,C,4000000
"Adam Larsson
",SEA,D,4000000
"David Perron
",STL,LW,4000000
"Jake McCabe
",CHI,D,4000000
"Justin Schultz
",WAS,D,4000000
"Elvis Merzlikins
",CBJ,G,4000000
"Alex Iafallo
",LAK,C,4000000
"Ilya Sorokin
",NYI,G,4000000
"Carter Hart
",PHI,G,3979000
"Joonas Donskoi
",SEA,RW,3900000
"Andrew Shaw
",CHI,C,3900000
"Brenden Dillon
",WPG,D,3900000
"Kevin Shattenkirk
",ANA,D,3900000
"Colin Miller
",BUF,D,3875000
"Connor Murphy
",CHI,D,3850000
"Petr Mrazek
",TOR,G,3800000
"Nick Foligno
",BOS,LW,3800000
"Rickard Rakell
",PIT,C,3789444
"Mattias Ekholm
",NSH,D,3750000
"Paul Stastny
",WPG,C,3750000
"Boone Jenner
",CBJ,C,3750000
"Nikita Zadorov
",CGY,D,3750000
"Will Butcher
",BUF,D,3733333
"Dominik Kubalik
",CHI,LW,3700000
"Matthew Grzelcyk
",BOS,D,3687500
"Jake DeBrusk
",BOS,LW,3675000
"Cameron Talbot
",MIN,G,3666666
"Ryan Suter
",DAL,D,3650000
"Barclay Goodrow
",NYR,LW,3641666
"Andrew Copp
",NYR,C,3640000
"Thomas Greiss
",DET,G,3600000
"Connor Brown
",OTT,RW,3600000
"Brandon Tanev
",SEA,C,3500000
"Chris Driedger
",SEA,G,3500000
"David Savard
",MTL,D,3500000
"Joel Edmundson
",MTL,D,3500000
"Chris Tierney
",OTT,C,3500000
"Lars Eller
",WAS,C,3500000
"Ben Chiarot
",FLA,D,3500000
"Brandon Montour
",FLA,D,3500000
"J.T Compher
",COL,C,3500000
"Tristan Jarry
",PIT,G,3500000
"Bryan Rust
",PIT,RW,3500000
"Alexander Kerfoot
",TOR,C,3500000
"Alexander Edler
",LAK,D,3500000
"Cal Clutterbuck
",NYI,RW,3500000
"Micheal Ferland
",VAN,LW,3500000
"Paul Byron
",MTL,C,3400000
"Joel Armia
",MTL,RW,3400000
"Andreas Johnsson
",NJD,LW,3400000
"Marco Scandella
",STL,D,3275000
"Pius Suter
",DET,C,3250000
"Cody Ceci
",EDM,D,3250000
"MacKenzie Weegar
",FLA,D,3250000
"Adam Lowry
",WPG,LW,3250000
"Radek Faksa
",DAL,C,3250000
"Tanner Pearson
",VAN,LW,3250000
"Dmitrij Jaskin
",ARI,RW,3200000
"Zack Kassian
",EDM,RW,3200000
"Kasperi Kapanen
",PIT,RW,3200000
"Ryan Graves
",NJD,D,3166666
"Matt Roy
",LAK,D,3150000
"Roope Hintz
",DAL,LW,3150000
"Craig Smith
",BOS,C,3100000
"Marcus Foligno
",MIN,LW,3100000
"Victor Olofsson
",BUF,RW,3050000
"Ryan Getzlaf
",ANA,C,3000000
"Mike Reilly
",BOS,D,3000000
"Ryan Lindgren
",NYR,D,3000000
"Jay Beagle
",ARI,RW,3000000
"Antoine Roussel
",ARI,LW,3000000
"Alex Nedeljkovic
",DET,G,3000000
"Travis Hamonic
",OTT,D,3000000
"Dylan Strome
",CHI,C,3000000
"Scott Laughton
",PHI,C,3000000
"Oskar Lindblom
",PHI,LW,3000000
"Anthony Duclair
",FLA,LW,3000000
"Dylan Demelo
",WPG,D,3000000
"Derek Forbort
",BOS,D,3000000
"Robby Fabbri
",DET,C,2950000
"Erik Cernak
",TBL,D,2950000
"Jared McCann
",SEA,LW,2940000
"Ian Cole
",CAR,D,2900000
"Jake Allen
",MTL,G,2875000
"Colton Sissons
",NSH,C,2857412
"Jordan Kyrou
",STL,C,2800000
"Robert Thomas
",STL,C,2800000
"MacKenzie Blackwood
",NJD,G,2800000
"Joonas Korpisalo
",CBJ,G,2800000
"Vladislav Gavrikov
",CBJ,D,2800000
"Carson Soucy
",SEA,D,2750000
"Oskar Sundqvist
",DET,C,2750000
"Chandler Stephenson
",VGK,C,2750000
"Carl Hagelin
",WAS,LW,2750000
"Warren Foegele
",EDM,LW,2750000
"Miles Wood
",NJD,LW,2750000
"Jesper Bratt
",NJD,LW,2750000
"Brock McGinn
",PIT,LW,2750000
"Markus Nutivaara
",FLA,D,2700000
"Andreas Athanasiou
",LAK,C,2700000
"Gustav Forsling
",FLA,D,2666667
"Sean Walker
",LAK,D,2650000
"Jason Dickinson
",VAN,C,2650000
"Denis Gurianov
",DAL,RW,2550000
"Frank Vatrano
",NYR,LW,2533333
"Patrik Nemeth
",NYR,D,2500000
"Nicholas Ritchie
",ARI,LW,2500000
"Brayden McNabb
",VGK,D,2500000
"Artem Zub
",OTT,D,2500000
"Michal Kempny
",WAS,D,2500000
"Nick Jensen
",WAS,D,2500000
"Radko Gudas
",FLA,D,2500000
"Valeri Nichushkin
",COL,RW,2500000
"Henri Jokiharju
",BUF,D,2500000
"Casey Mittelstadt
",BUF,C,2500000
"Sean Kuraly
",CBJ,C,2500000
"Casey Cizikas
",NYI,C,2500000
"Tucker Poolman
",VAN,D,2500000
"Alexander Georgiev
",NYR,G,2425000
"Andrew Mangiapane
",CGY,LW,2425000
"Dante Fabbro
",NSH,D,2400000
"Erik Haula
",BOS,C,2375000
"Jake Bean
",CBJ,D,2333333
"Laurent Brossoit
",VGK,G,2325000
"Filip Chytil
",NYR,LW,2300000
"Luke Kunin
",NSH,C,2300000
"Artturi Lehkonen
",COL,LW,2300000
"Dillon Dube
",CGY,C,2300000
"Dmitry Kulikov
",MIN,D,2250000
"Ivan Barbashev
",STL,C,2250000
"Cody Eakin
",BUF,C,2250000
"Pavel Zacha
",NJD,C,2250000
"Radim Simek
",SJS,D,2250000
"James Reimer
",SJS,G,2250000
"Mike Smith
",EDM,G,2200000
"Zemgus Girgensons
",BUF,C,2200000
"Theodor Blueger
",PIT,C,2200000
"Adin Hill
",SJS,G,2175000
"Evander Kane
",EDM,LW,2108696
"Jordan Greenway
",MIN,LW,2100000
"Adam Erne
",DET,LW,2100000
"Nick Bonino
",SJS,C,2050000
"Maxime Comtois
",ANA,LW,2037500
"Tyson Jost
",MIN,C,2000000
"Ethan Bear
",CAR,D,2000000
"Marc Staal
",DET,D,2000000
"Mattias Janmark
",VGK,C,2000000
"Jesper Fast
",CAR,RW,2000000
"Antti Raanta
",CAR,G,2000000
Michael Del,"Zotto
 OTT",D,2000000
"Ilya Samsonov
",WAS,G,2000000
"Mark Borowiecki
",NSH,D,2000000
"Martin Jones
",PHI,G,2000000
"Zach Sanford
",WPG,LW,2000000
"Ryan Murray
",COL,D,2000000
"Pavel Francouz
",COL,G,2000000
"Yegor Sharangovich
",NJD,C,2000000
"Justin Holl
",TOR,D,2000000
"Adrian Kempe
",LAK,LW,2000000
"Vladislav Namestnikov
",DAL,C,2000000
"Braden Holtby
",DAL,G,2000000
"Calle Jarnkrok
",CGY,C,2000000
"Erik Gudbranson
",CGY,D,1950000
"Trevor Moore
",LAK,LW,1875000
"Brett Kulak
",EDM,D,1850000
"Jack Roslovic
",CBJ,C,1838362
"Janne Kuokkanen
",NJD,C,1825000
"Justin Braun
",NYR,D,1800000
"Jordan Martinook
",CAR,LW,1800000
"Tomas Nosek
",BOS,LW,1750000
"Ryan Reaves
",NYR,RW,1750000
"Tyler Pitlick
",MTL,RW,1750000
"Zach Aston-Reese
",ANA,C,1725000
"Ryan Hartman
",MIN,RW,1700000
"Sonny Milano
",ANA,LW,1700000
"Nick Holden
",OTT,D,1700000
"Troy Stecher
",LAK,D,1700000
"Nick Blankenburg
",CBJ,D,1688452
"Noel Acciari
",FLA,C,1666666
"Kyle Turris
",EDM,C,1650000
"Jack Campbell
",TOR,G,1650000
"Dean Kukan
",CBJ,D,1650000
"Ilya Mikheyev
",TOR,LW,1645000
"Robert Hagg
",FLA,D,1600000
"Anders Bjork
",BUF,LW,1600000
"Brendan Lemieux
",LAK,LW,1550000
"Rudolfs Balcers
",SJS,LW,1550000
"Lawson Crouse
",ARI,LW,1533333
"Alexandre Texier
",CBJ,C,1525000
"Samuel Blais
",NYR,LW,1500000
"Derek Grant
",ANA,LW,1500000
"Austin Watson
",OTT,LW,1500000
"Garnet Hathaway
",WAS,RW,1500000
"Marcus Johansson
",WAS,C,1500000
"Conor Sheary
",WAS,LW,1500000
"Josh Archibald
",EDM,RW,1500000
"Nick Cousins
",NSH,C,1500000
"Brandon Hagel
",TBL,LW,1500000
"David Kampf
",TOR,C,1500000
"Matt Martin
",NYI,LW,1500000
"Jaroslav Halak
",VAN,G,1500000
"Luke Glendening
",DAL,C,1500000
"Travis Dermott
",VAN,D,1500000
"Andrej Sekera
",DAL,D,1500000
"Jani Hakanpaa
",DAL,D,1500000
"Michael Rasmussen
",DET,C,1460000
"Troy Terry
",ANA,RW,1450000
"Eeli Tolvanen
",NSH,RW,1450000
"Scott Mayfield
",NYI,D,1450000
"William Carrier
",VGK,LW,1400000
"Johan Larsson
",WAS,LW,1400000
"Tage Thompson
",BUF,C,1400000
"Robert Bortuzzo
",STL,D,1375000
"Chris Wagner
",BOS,C,1350000
"Jordan Oesterle
",DET,D,1350000
"Derek Stepan
",CAR,C,1350000
"Riley Stillman
",CHI,D,1350000
"Nicholas Paul
",TBL,C,1350000
"Ilya Lyubushkin
",TOR,D,1350000
"Haydn Fleury
",SEA,D,1300000
"Jan Rutta
",TBL,D,1300000
"Max Jones
",ANA,LW,1295000
"Kris Russell
",EDM,D,1250000
"Derek Ryan
",EDM,C,1250000
"David Rittich
",NSH,G,1250000
"Casey DeSmith
",PIT,G,1250000
"Nathan Beaulieu
",PIT,D,1250000
"Pierre Engvall
",TOR,LW,1250000
"Ondrej Kase
",TOR,RW,1250000
"Tyler Motte
",NYR,C,1225000
"Frederick Gaudreau
",MIN,C,1200000
"Joshua Brown
",BOS,D,1200000
"Nolan Patrick
",VGK,C,1200000
"Victor Mete
",OTT,D,1200000
"Jesse Puljujarvi
",EDM,RW,1175000
"Kailer Yamamoto
",EDM,C,1175000
"Ross Colton
",TBL,C,1125000
"Jonas Siegenthaler
",NJD,D,1125000
"Brandon Sutter
",VAN,C,1125000
"Dylan Gambrell
",OTT,C,1100000
"Danton Heinen
",PIT,C,1100000
"Michael Raffl
",DAL,LW,1100000
"Nicolas Aube-Kubel
",COL,RW,1075000
"Joel Kiviranta
",DAL,LW,1050000
"Trent Frederic
",BOS,C,1050000
"Vincent Hinostroza
",BUF,C,1050000
"Ryan Carpenter
",CGY,C,1000000
"Nicolas Deslauriers
",MIN,LW,1000000
"Connor Clifton
",BOS,D,1000000
"Kodie Curran
",BOS,D,1000000
"Christian Fischer
",ARI,C,1000000
"Anthony DeAngelo
",CAR,D,1000000
"Henrik Borgstrom
",CHI,C,1000000
"Matthew Benning
",NSH,D,1000000
"Corey Perry
",TBL,RW,1000000
"Pierre-Edouard Bellemare
",TBL,LW,1000000
"Andrew Cogliano
",COL,LW,1000000
"Carter Verhaeghe
",FLA,C,1000000
"Darren Helm
",COL,C,1000000
"Evan Rodrigues
",PIT,LW,1000000
"Kyle Clifford
",TOR,C,1000000
"Ross Johnston
",NYI,LW,1000000
"Alexander Barabanov
",SJS,RW,1000000
"Adam Gaudette
",OTT,C,997500
"Jujhar Khaira
",CHI,LW,975000
"Maxim Mamin
",FLA,C,975000
"Michael Mcleod
",NJD,C,975000
"Eric Robinson
",CBJ,LW,975000
"Anthony Stolarz
",ANA,G,950000
"Mathieu Perreault
",MTL,C,950000
Trevor Van,"Riemsdyk
 WAS",D,950000
"Michael Bunting
",TOR,LW,950000
"Jake Oettinger
",DAL,G,925000
"Adam Fox
",NYR,D,925000
"Kaapo Kakko
",NYR,RW,925000
"Alexis Lafrenière
",NYR,LW,925000
"K'Andre Miller
",NYR,D,925000
"Braden Schneider
",NYR,D,925000
"Jack Ahcan
",BOS,D,925000
"Jeremy Swayman
",BOS,G,925000
"Lucas Raymond
",DET,RW,925000
"Jamie Drysdale
",ANA,D,925000
"Justin Barron
",MTL,D,925000
"Trevor Zegras
",ANA,C,925000
"Josh Norris
",OTT,C,925000
"Shane Pinto
",OTT,C,925000
"Jake Sanderson
",OTT,D,925000
"Tim Stützle
",OTT,C,925000
"Scott Perunovich
",STL,D,925000
"Kirby Dach
",CHI,C,925000
"Bobby Brink
",PHI,RW,925000
"Joel Farabee
",PHI,LW,925000
"Morgan Barron
",WPG,C,925000
"Dylan Samberg
",WPG,D,925000
"Aleksi Heponiemi
",FLA,C,925000
"Spencer Knight
",FLA,G,925000
"Anton Lundell
",FLA,C,925000
"Jesper Boqvist
",NJD,C,925000
"Alexander Holtz
",NJD,RW,925000
"Jack Hughes
",NJD,C,925000
"Reilly Walsh
",NJD,D,925000
"Mattias Samuelsson
",BUF,D,925000
"Michael Anderson
",LAK,D,925000
"Emil Bemstrom
",CBJ,C,925000
"Yegor Chinakhov
",CBJ,RW,925000
"Kent Johnson
",CBJ,C,925000
"Cole Sillinger
",CBJ,C,925000
"Daniil Tarasov
",CBJ,G,925000
"Mario Ferraro
",SJS,D,925000
"John Leonard
",SJS,C,925000
"Vasily Podkolzin
",VAN,RW,925000
"Rem Pitlick
",MTL,C,917831
"Alex Vlasic
",CHI,D,916667
"Owen Power
",BUF,D,916667
"Thomas Bordeleau
",SJS,C,916667
"Connor Mackey
",CGY,D,912500
"Ben Meyers
",COL,LW,912500
"Alex Newhook
",COL,C,908333
"Brett Ritchie
",CGY,RW,900000
"Jordie Benn
",MIN,D,900000
"Nick Bjugstad
",MIN,C,900000
"William Borgen
",SEA,D,900000
"Tyler Ennis
",OTT,C,900000
"Anton Forsberg
",OTT,G,900000
"MacKenzie MacEachern
",STL,LW,900000
"Keith Yandle
",PHI,D,900000
"Patrick Maroon
",TBL,LW,900000
"Brian Elliott
",TBL,G,900000
"Mason Appleton
",WPG,C,900000
"Logan Stanley
",WPG,D,900000
"Mark Pysyk
",BUF,D,900000
"Wayne Simmonds
",TOR,RW,900000
"Matthew Beniers
",SEA,C,897500
"Eetu Luostarinen
",FLA,C,897500
"Joe Veleno
",DET,C,894167
"Seth Jarvis
",CAR,RW,894167
"Filip Zadina
",DET,RW,894167
"Barrett Hayton
",ARI,C,894167
"Alexander Romanov
",MTL,D,894167
"Urho Vaakanainen
",ANA,D,894167
"Cole Perfetti
",WPG,C,894167
"Bowen Byram
",COL,D,894167
"Dawson Mercer
",NJD,RW,894167
"Dylan Cozens
",BUF,C,894167
"Rasmus Sandin
",TOR,D,894167
"Tobias Bjornfot
",LAK,D,894167
"Quinton Byfield
",LAK,C,894167
"Arthur Kaliyev
",LAK,RW,894167
"Gabe Vilardi
",LAK,C,894167
"Adam Boqvist
",CBJ,D,894167
"Oliver Wahlstrom
",NYI,RW,894167
"Noah Dobson
",NYI,D,894167
"Nils Hoglander
",VAN,LW,891667
"Jacob Bryson
",BUF,D,889166
"Janis Moser
",ARI,D,886667
"Brett Howden
",VGK,C,885000
"Marc McLaughlin
",BOS,C,883750
"Jack McBain
",ARI,C,883750
"Nathan Smith
",ARI,C,883750
"Matthew Boldy
",MIN,LW,880833
"Cole Caufield
",MTL,RW,880833
"Cameron York
",PHI,D,880833
"Justus Annunen
",COL,G,880833
"Kurtis Macdermid
",COL,D,875000
"Libor Hajek
",NYR,D,874125
"Kole Lind
",SEA,RW,874125
"Isac Lundestrom
",ANA,C,874125
"Sam Steel
",ANA,C,874125
"Lias Andersson
",LAK,C,874125
"Thomas Harley
",DAL,D,863333
"Moritz Seider
",DET,D,863333
"Martin Necas
",CAR,C,863333
"Nick Suzuki
",MTL,C,863333
"Victor Soderstrom
",ARI,D,863333
"Erik Brannstrom
",OTT,D,863333
"Connor McMichael
",WAS,C,863333
"Evan Bouchard
",EDM,D,863333
"Philip Tomasino
",NSH,C,863333
"Morgan Frost
",PHI,C,863333
"Owen Tippett
",PHI,RW,863333
"Nolan Foote
",NJD,LW,863333
"Ty Smith
",NJD,D,863333
"Peyton Krebs
",BUF,C,863333
"Timothy Liljegren
",TOR,D,863333
"Rasmus Kupari
",LAK,C,863333
"Ryan Merkley
",SJS,D,863333
"Matt Kiersted
",FLA,D,858750
"Cal Petersen
",LAK,G,858333
"Cole Schwindt
",FLA,RW,855833
"Santeri Hatakka
",SJS,D,850833
"Luke Schenn
",VAN,D,850000
"Jon Merrill
",MIN,D,850000
"Riley Sheahan
",SEA,LW,850000
"Sam Gagner
",DET,C,850000
"Gustav Lindstrom
",DET,D,850000
"Conor Timmins
",ARI,D,850000
"Devin Shore
",EDM,C,850000
"Caleb Jones
",CHI,D,850000
"Jeremy Lauzon
",NSH,D,850000
"Zach Bogosian
",TBL,D,850000
"Cal Foote
",TBL,D,850000
"Malcolm Subban
",BUF,G,850000
